0,1390,786,-2613
1,1379,773,-2628
2,1284,968,-2525
3,1285,1000,-2513
4,1284,811,-2685
5,1277,801,-2676
6,1441,879,-2500
7,1377,912,-2499
8,1291,993,-2509
9,1410,888,-2563
10,1284,822,-2680
11,1288,844,-2656
12,1299,938,-2594
13,1294,981,-2532
14,1280,910,-2621
15,1297,912,-2615
16,1430,847,-2551
17,1402,941,-2508
18,1293,802,-2680
19,1276,939,-2564
20,1280,983,-2512
21,1277,977,-2523
22,1289,933,-2546
23,1281,924,-2608
24,1297,955,-2544
25,1410,857,-2584
26,1296,975,-2529
27,1210,894,-2616
28,1156,904,-2582
29,1289,982,-2542
30,1323,826,-2598
31,1324,849,-2585
32,1293,997,-2510
33,1389,794,-2624
34,1418,845,-2621
35,1291,908,-2592
36,1297,845,-2667
37,1370,789,-2488
38,1284,897,-2582
39,1292,809,-2684
40,1313,842,-2457
41,1420,831,-2596
42,1413,786,-2625
43,1441,812,-2578
44,1295,794,-2653
45,1296,914,-2587
46,1283,825,-2647
47,1379,811,-2596
48,1294,847,-2662
49,1209,887,-2614
50,1428,896,-2517
51,1284,839,-2624
52,1294,951,-2518
53,1207,893,-2600
54,1299,961,-2548
55,1315,807,-2616
56,1284,933,-2550
57,1284,967,-2527
58,1400,934,-2511
59,1277,951,-2481
60,1279,916,-2566
61,1277,897,-2614
62,1304,811,-2613
63,1297,899,-2602
64,1297,945,-2585
65,1280,802,-2687
66,1284,812,-2663
67,1406,854,-2591
68,1303,879,-2572
69,1286,907,-2570
70,1210,963,-2533
71,1277,915,-2617
72,1299,1008,-2487
73,1288,833,-2626
74,1299,853,-2618
75,1291,829,-2652
76,1281,1011,-2501
77,1286,839,-2650
78,1218,921,-2588
79,1277,819,-2697
80,1294,791,-2663
81,1406,785,-2636
82,1416,836,-2581
83,1223,911,-2577
84,1288,883,-2607
85,1276,969,-2549
86,1278,827,-2606
87,1295,1006,-2521
88,1290,809,-2691
89,1308,974,-2486
90,1276,899,-2579
91,1297,854,-2620
92,1281,825,-2630
