edge_type_id target_query source_query model_template delay dynamics_params syn_weight
217 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SO_BS.json 0.125000
218 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SO_OLM.json 0.125000
219 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SO_PC.json 0.030000
220 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SO_TRI.json 0.125000
221 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_AA.json 0.125000
222 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_BS.json 0.125000
223 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_CCKBC.json 0.125000
224 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_IVY.json 0.125000
225 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_PC.json 0.030000
226 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SP_PVBC.json 0.125000
227 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SR_PP.json 0.125000
228 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SO_TRI_to_SR_R.json 0.125000
229 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_AA_to_SO_PC.json 0.100000
230 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_AA_to_SP_PC.json 0.100000
231 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SLM_NGF.json 0.125000
232 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SL_MFA.json 0.125000
233 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SL_SL.json 0.125000
234 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SO_BS.json 0.125000
235 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SO_OLM.json 0.125000
236 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SO_PC.json 0.100000
237 * * stdp_tsodyks_Tartarini_synapse_nestml__with_hill_tononi_neuron_nestml 2.000000 synapse_params_cus/SP_BS_to_SO_TRI.json 0.125000
